,Organization Name,Organization Name URL,Transaction Name,Transaction Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Type,Organization Industries,Announced Date,Lead Investors,Investor Names,Funding Stage,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Diversity Spotlight (US Headquarters Only),Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Organization Location
56,WebRadar,https://www.crunchbase.com/organization/webradar,Venture Round - WebRadar,https://www.crunchbase.com/funding_round/webradar-series-unknown--5523cc8d,40000000.0,BRL,9975567.0,Venture - Series Unknown,"Consulting, Mobile, Software, Telecommunications",2013-10-31,,Intel Capital,,,,,,,,Yes,"WebRadar is a telecom engineering company focused in quality, performance, and optimization management.",,http://www.webradar.com/,,,5,"Rio De Janeiro, Rio de Janeiro, Brazil, South America"
57,Rankim,https://www.crunchbase.com/organization/rankim,Series A - Rankim,https://www.crunchbase.com/funding_round/rankim-series-a--936ef36b,300000.0,BRL,137136.0,Series A,"Consulting, Information Technology, Internet, Real Estate, Software",2013-10-27,,,Early Stage Venture,300000.0,BRL,137136.0,,,,Yes,"Rankim is an online portal that offers brokers, real estate agents, and builders with educational content related to the housing market.",,http://rankim.com.br,Less than $1M,Early Stage Venture,1,"Florianópolis, Santa Catarina, Brazil, South America"
58,Easy Taxi,https://www.crunchbase.com/organization/easy-taxi,Venture Round - Easy Taxi,https://www.crunchbase.com/funding_round/easy-taxi-series-unknown--27bce7e9,77000000.0,USD,77000000.0,Venture - Series Unknown,"Apps, Automotive, Mobile, Public Transportation, Taxi Service, Transportation",2013-10-23,iMENA Group,"iMENA Group, Rocket Internet",,7000000.0,USD,7000000.0,,,,Yes,Easy Taxi is an urban transport application that allows passengers to book and track a taxi.,,http://www.easytaxi.com/br,$10M to $50M,M&A,7,"São Paulo, Sao Paulo, Brazil, South America"
59,Creditas,https://www.crunchbase.com/organization/creditas,Seed Round - Creditas,https://www.crunchbase.com/funding_round/creditas-seed--bf1e5d5f,1053950000.0,USD,1053950000.0,Seed,"Auto Insurance, Automotive, Banking, Consumer Lending, Financial Services",2013-10-18,,"Napkn Ventures, Rockaway Capital",Seed,1400000.0,USD,1400000.0,,,,Yes,Creditas is a consumer loaning startup that operates a digital platform providing secured loans and low interest rates.,,https://www.creditas.com,$100M to $500M,Late Stage Venture,12,"São Paulo, Sao Paulo, Brazil, South America"
60,Pitzi,https://www.crunchbase.com/organization/pitzi,Series B - Pitzi,https://www.crunchbase.com/funding_round/pitzi-series-b--2b4bc2a6,29788821.0,USD,29788821.0,Series B,"FinTech, InsurTech, Internet, Mobile, Retail, Security, Software",2013-10-15,Thrive Capital,"DCM Ventures, Fabrice Grinda, Flybridge, Initial Capital, Jose Marin, Kaszek, Thrive Capital",Early Stage Venture,2708825.0,USD,2708825.0,,,,Yes,Pitzi provides insurance protection for phones against accidents and defects.,,http://www.pitzi.com.br,$10M to $50M,Late Stage Venture,4,"Osasco, Sao Paulo, Brazil, South America"
61,Lema21,https://www.crunchbase.com/organization/lema21,Venture Round - Lema21,https://www.crunchbase.com/funding_round/lema21-series-unknown--1da6cf1d,4000000.0,USD,4000000.0,Venture - Series Unknown,"Consumer, E-Commerce, Eyewear, Fashion, Internet, Lifestyle",2013-10-15,,,,2400000.0,USD,2400000.0,,,,Yes,Lema21 offers online quality designer eyewear such as prescription frames with anti-reflective organic lenses and smart eyewear.,,http://www.lema21.com.br,Less than $1M,M&A,2,"São Paulo, Sao Paulo, Brazil, South America"
62,Tysdo,https://www.crunchbase.com/organization/tysdo,Angel Round - Tysdo,https://www.crunchbase.com/funding_round/tysdo-angel--0330370f,411781.0,USD,411781.0,Angel,"Apps, Mobile, Social Media, Software",2013-10-15,,,Seed,440000.0,BRL,201781.0,,,,Yes,Tysdo gives people the incentive to transform their lackluster lives to a life filled with breathtaking moments.,,http://tysdoapp.com,$1M to $10M,Seed,2,"Belo Horizonte, Minas Gerais, Brazil, South America"
63,Unight,https://www.crunchbase.com/organization/unight-2,Angel Round - Unight,https://www.crunchbase.com/funding_round/unight-2-angel--1fb4826e,100000.0,USD,100000.0,Angel,"Mobile, Nightlife, Social Media",2013-10-11,,,Seed,100000.0,USD,100000.0,,,,Yes,Unight is the future of nightlife social media.,,http://unight.com,Less than $1M,Seed,1,"Chile, Minas Gerais, Brazil, South America"
64,Izzui,https://www.crunchbase.com/organization/izzui,Series A - Izzui,https://www.crunchbase.com/funding_round/izzui-series-a--07e4acbd,3000000.0,BRL,1368595.0,Series A,"Content, Content Creators, Content Marketing",2013-10-10,,Confrapar,Early Stage Venture,3000000.0,BRL,1368595.0,,,,Yes,Izzui is a content engagement platform that allows its users to launch their gamified learning channels.,,https://www.izzui.com,$1M to $10M,Early Stage Venture,1,"Rio De Janeiro, Rio de Janeiro, Brazil, South America"
65,Glio,https://www.crunchbase.com/organization/glio,Seed Round - Glio,https://www.crunchbase.com/funding_round/glio-seed--6e771065,,USD,,Seed,"Customer Service, E-Commerce, Internet, Shopping",2013-10-09,,"Anthony Saleh, Emagen Investment Group Inc., FundersClub, Lauren DeLuca, Nasir Jones, Winklevoss Capital",Seed,,,,,,,Yes,Glio is an online platform that connects buyers to sellers with the lowest prices & best e-commerce experience in Latin America region.,,https://glio.com,Less than $1M,Seed,2,"Rio De Janeiro, Rio de Janeiro, Brazil, South America"
66,Poup,https://www.crunchbase.com/organization/poup,Seed Round - Poup,https://www.crunchbase.com/funding_round/poup-seed--b610ab57,300000.0,BRL,132206.0,Seed,"Coupons, E-Commerce, Internet",2013-10-01,,Wayra,Seed,100000.0,BRL,44980.0,,,,Yes,"Poup is an online platform that offers discounts, promotions, and money for online shopping activities.",,http://www.poup.com.br,$1M to $10M,Seed,2,"Brasília, Rio Grande do Norte, Brazil, South America"
67,Econodata,https://www.crunchbase.com/organization/econodata,Seed Round - Econodata,https://www.crunchbase.com/funding_round/econodata-seed--190fc842,300000.0,BRL,129509.0,Seed,"B2B, Big Data, Data Visualization, Information Services",2013-10-01,,Wayra,Seed,100000.0,BRL,44980.0,,,,Yes,Econodata is an innovative prospecting platform that uses big data and innovation to help benefit companies.,,http://www.econodata.com.br,Less than $1M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America"
68,Ocapi,https://www.crunchbase.com/organization/ocapi,Seed Round - Ocapi,https://www.crunchbase.com/funding_round/ocapi-seed--cbab0978,668117.0,USD,668117.0,Seed,"Ad Network, Advertising, Advertising Platforms, E-Commerce, Internet",2013-10-01,,Wayra,Seed,100000.0,BRL,44980.0,,,,Yes,Ocapi is a demand-side platform focused on the display advertising industry.,,http://www.ocapi.com.br,Less than $1M,,4,"São Paulo, Sao Paulo, Brazil, South America"
69,Veduca,https://www.crunchbase.com/organization/veduca,Series A - Veduca,https://www.crunchbase.com/funding_round/veduca-series-a--49c68280,3050000.0,USD,3050000.0,Series A,"E-Learning, EdTech, Education, MOOC, Universities",2013-10-01,,"500 Global, Bolt Ventures, Digital Education, Nicolas Gautier",Early Stage Venture,2300000.0,USD,2300000.0,,,,Yes,Veduca is an Educational Online Video Platform,,https://play.veduca.org,Less than $1M,Early Stage Venture,2,"São Paulo, Sao Paulo, Brazil, South America"
70,EcoSynth,https://www.crunchbase.com/organization/ecosynth,Series A - EcoSynth,https://www.crunchbase.com/funding_round/ecosynth-series-a--d2aba068,3000000.0,BRL,1349428.0,Series A,"Water, Water Purification",2013-10-01,KPTL,KPTL,Early Stage Venture,3000000.0,BRL,1349428.0,,,,Yes,"Ecosynth is focused on water purification, sewage removal, sewage plants and oil filtration services.",,http://www.ecosynth.com.br,Less than $1M,Early Stage Venture,1,"Valinhos, Sao Paulo, Brazil, South America"
71,Logovia,https://www.crunchbase.com/organization/logovia,Venture Round - Logovia,https://www.crunchbase.com/funding_round/logovia-series-unknown--d54eb268,,USD,,Venture - Series Unknown,"Crowdsourcing, Graphic Design, Web Design",2013-10-01,,initial.vc,,,,,,,,Yes,Logovia is an online crowdsourcing platform providing over 15 design products for its users’ businesses such as logo creations and more.,,http://www.logovia.com.br,,M&A,1,"São Paulo, Sao Paulo, Brazil, South America"
72,Voopter,https://www.crunchbase.com/organization/voopter,Seed Round - Voopter,https://www.crunchbase.com/funding_round/voopter-seed--8bee0aa1,1620903.0,USD,1620903.0,Seed,"Advertising, Internet, Mobile Apps, Travel",2013-09-29,,Global Founders Capital,Seed,398700.0,EUR,538417.0,,,,Yes,Voopter is a Brazilian travel app that enables customers to find the best deals for their flights,,https://www.voopter.com.br,$1M to $10M,Seed,4,"São Paulo, Sao Paulo, Brazil, South America"
73,Sontra,https://www.crunchbase.com/organization/sontra,Pre Seed Round - Sontra,https://www.crunchbase.com/funding_round/sontra-pre-seed--6f8b9f6a,22486140.0,USD,22486140.0,Pre-Seed,"Customer Service, Logistics, Transportation",2013-09-24,Mola,Mola,Seed,,,,,,,Yes,SontraCargo is used by major shipping companies and truck drivers to find available trucks or freight.,,http://www.sontracargo.com.br/,$1M to $10M,,8,"São Paulo, Sao Paulo, Brazil, South America"
74,FormaFina,https://www.crunchbase.com/organization/formafina,Seed Round - FormaFina,https://www.crunchbase.com/funding_round/formafina-seed--35b3b769,4660000.0,USD,4660000.0,Seed,"E-Commerce, Fashion, Home Decor, Lifestyle, Marketplace",2013-09-23,,"500 Global, EPA, Hans Hickler, IG Business Angels, In Hsieh, Plug and Play, Redpoint eventures, South Ventures, Start Capital, Start-Up Chile",Seed,1400000.0,USD,1400000.0,,,,Yes,FormaFina is an online marketplace for fashion and home accessories at special prices.,,http://www.formafina.com,$1M to $10M,Seed,9,"São Paulo, Sao Paulo, Brazil, South America"
75,Portal Profes,https://www.crunchbase.com/organization/portal-profes,Grant - Portal Profes,https://www.crunchbase.com/funding_round/portal-profes-grant--ec7a40a9,445000.0,USD,445000.0,Grant,"E-Learning, Education, Knowledge Management, Online Portals, Tutoring",2013-09-20,,,,90000.0,USD,90000.0,,,,No,Portal Profes is a web-based platform that enables its users to search for tutors and lessons for all subjects and issues.,,https://profes.com.br,,Seed,4,"São Paulo, Sao Paulo, Brazil, South America"
76,Dafiti,https://www.crunchbase.com/organization/dafiti,Venture Round - Dafiti,https://www.crunchbase.com/funding_round/dafiti-series-unknown--8f17d0e8,250481171.0,USD,250481171.0,Venture - Series Unknown,"E-Commerce, Fashion, Lifestyle, Shoes",2013-09-17,Ontario Teachers' Pension Plan,Ontario Teachers' Pension Plan,,70000000.0,USD,70000000.0,700000000.0,EUR,934942681.0,Yes,"Dafiti is an e-commerce website created to promote footwear, fashion, and lifestyle for both men and women.",,http://www.dafiti.com.br,$500M to $1B,,6,"São Paulo, Sao Paulo, Brazil, South America"
77,Tysdo,https://www.crunchbase.com/organization/tysdo,Seed Round - Tysdo,https://www.crunchbase.com/funding_round/tysdo-seed--179cfe5a,411781.0,USD,411781.0,Seed,"Apps, Mobile, Social Media, Software",2013-09-15,,,Seed,210000.0,USD,210000.0,,,,Yes,Tysdo gives people the incentive to transform their lackluster lives to a life filled with breathtaking moments.,,http://tysdoapp.com,$1M to $10M,Seed,2,"Belo Horizonte, Minas Gerais, Brazil, South America"
78,Concilig,https://www.crunchbase.com/organization/concilig,Seed Round - Concilig,https://www.crunchbase.com/funding_round/concilig-seed--9b516ea0,,USD,,Seed,"Financial Services, Service Industry, Telecommunications",2013-09-15,,Jose Edgard da Cunha Bueno,Seed,,,,,,,Yes,Concilig is a telephone call center that offers credit recovery and financial services.,,https://concilig.com.br,,Seed,1,"Bauru, Sao Paulo, Brazil, South America"
79,Blogo,https://www.crunchbase.com/organization/blogo,Seed Round - Blogo,https://www.crunchbase.com/funding_round/blogo-seed--c09deb45,75000.0,USD,75000.0,Seed,"Apps, Blogging Platforms, Consumer Electronics, Mobile, Software",2013-09-08,,,Seed,75000.0,USD,75000.0,,,,Yes,"Blogo is an application that makes it easy to write, publish, and manage multiple blogs.",,http://www.getblogo.com,,Seed,2,"Rio De Janeiro, Rio de Janeiro, Brazil, South America"
80,Econodata,https://www.crunchbase.com/organization/econodata,Pre Seed Round - Econodata,https://www.crunchbase.com/funding_round/econodata-pre-seed--9aae3e20,300000.0,BRL,129509.0,Pre-Seed,"B2B, Big Data, Data Visualization, Information Services",2013-09-03,,Wayra,Seed,200000.0,BRL,84528.0,,,,Yes,Econodata is an innovative prospecting platform that uses big data and innovation to help benefit companies.,,http://www.econodata.com.br,Less than $1M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America"
81,Pergunter,https://www.crunchbase.com/organization/pergunter,Seed Round - Pergunter,https://www.crunchbase.com/funding_round/pergunter-seed--1dd4eb02,15000.0,EUR,19796.0,Seed,"Photography, Video",2013-09-02,,Startupbootcamp,Seed,15000.0,EUR,19795.0,,,,Yes,Pergunter is a social network that enables users to ask questions about visual content using photos and videos.,,http://pergunter.com,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America"
82,IntooBR,https://www.crunchbase.com/organization/intoobr,Seed Round - IntooBR,https://www.crunchbase.com/funding_round/intoobr-seed--1774db14,1359997.0,USD,1359997.0,Seed,"B2B, Finance, Financial Services",2013-09-01,,Wayra,Seed,100000.0,BRL,41927.0,,,,Yes,Intoo is a B2B platform that facilitates the process of getting credit from banks and institutional investors.,,http://intoo.com.br,,Seed,7,"São Paulo, Sao Paulo, Brazil, South America"
83,Doctor Fun,https://www.crunchbase.com/organization/doctor-fun,Grant - Doctor Fun,https://www.crunchbase.com/funding_round/doctor-fun-grant--df852e50,100000.0,GBP,155091.0,Grant,"Apps, Gamification, Health Care, Mobile, Software",2013-09-01,,,,100000.0,GBP,155091.0,,,,No,"Doctor Fun is a mobile-based, gamified platform that aims to support patients going through recovery processes.",,,,,1,"Rio De Janeiro, Rio de Janeiro, Brazil, South America"
84,"Doctorfun Entertainment, Ltd",https://www.crunchbase.com/organization/doctorfun-entertainment-ltd,"Grant - Doctorfun Entertainment, Ltd",https://www.crunchbase.com/funding_round/doctorfun-entertainment-ltd-grant--97f73321,100000.0,USD,100000.0,Grant,Parenting,2013-09-01,,,,100000.0,USD,100000.0,,,,No,Doctorfun is on a mission to bring parent and kids closer together.,,http://doctorfun.co,,,1,"Rio De Janeiro, Rio de Janeiro, Brazil, South America"
85,Aulalivre,https://www.crunchbase.com/organization/aulalivre-net,Grant - Aulalivre,https://www.crunchbase.com/funding_round/aulalivre-net-grant--34e8db80,366000.0,BRL,121714.0,Grant,"E-Learning, EdTech, Education, Online Portals, Training",2013-09-01,,"Pipa, Start-Up Brasil",,115000.0,BRL,48216.0,,,,No,Aulalivre is Brazil's ed-tech company specializes in prep for college.,,http://aulalivre.net/,$1M to $10M,Seed,3,"Porto Alegre, Rio Grande do Sul, Brazil, South America"
86,Gravia,https://www.crunchbase.com/organization/gravie,Seed Round - Gravia,https://www.crunchbase.com/funding_round/gravie-seed--313738e9,177120743.0,USD,177120743.0,Seed,"Building Material, Construction, Wholesale",2013-08-30,,,Seed,2600767.0,USD,2600767.0,,,,Yes,"Gravia offers steel products and services tailored for construction, industry, agribusiness, and metalworking.",,https://www.gravia.com,$1M to $10M,Late Stage Venture,10,"Taguatinga, Tocantins, Brazil, South America"
87,Target Bank,https://www.crunchbase.com/organization/target-bank,Series A - Target Bank,https://www.crunchbase.com/funding_round/target-bank-series-a--144e3cfc,,USD,,Series A,"Financial Services, Fleet Management, Logistics, Payments, Retirement",2013-08-29,,Lorinvest,Early Stage Venture,,,,,,,Yes,"Target Bank specializes in logistics, retirement planning, road cargo transportation, fleet financing, ​and fleet management services.",,https://targetbank.com.br/,,Early Stage Venture,1,"Barra Da Tijuca, Rio de Janeiro, Brazil, South America"
88,4vets,https://www.crunchbase.com/organization/grupo-4vets,Seed Round - 4vets,https://www.crunchbase.com/funding_round/grupo-4vets-seed--0eaecefe,,USD,,Seed,"Developer Platform, Internet, Online Portals, Pet, Retail, Retail Technology, Veterinary",2013-08-29,,Igah Ventures,Seed,,,,,,,Yes,4vets offers applied technology in the distribution and retail network of veterinary and animal health products.,,https://www.grupo4vets.com.br,,Seed,4,"Brasil, Sao Paulo, Brazil, South America"
